Villa,,
"Types de villas, il existe 3 types de villas de surfaces et de conception différentes",Type 1/Type 2/Type 3,
,,
Type 1,superficie terrain,de 500 à 600 m²
Type 1,superficie habitable/ surface construitre,650 m² de surfaces planchers
Type 1,nombre de chambres,"La villa dispose de 4 suites spacieuses chaucune avec sa salle de bain 
"
Type 1,nombre de salle de bains,Chaque suite est équipée de sa propre salle de bain
Type 1,jardin privatif,"Chaque villa bénéficie d’un jardin privatif soigneusement aménagé, pensé comme un prolongement naturel de l’espace de vie, offrant calme, intimité et un cadre verdoyant idéal pour se détendre"
Type 1,piscine,"Chaque villa est dotée d'une piscine privée à débordement situé à l'étage et surplombant la mer, soigneusement intégrée au paysage, invitant à la détente et à la convivialité dans un cadre élégant et intimiste."
Type 1,prix,le prix est de 20 MDH
Type 1,modalités de paiment,"30% à la réservation, 20% à la fin des travaux gros œuvres et le reste à la livraison"
Type 1,Type de contrat,c'est un contrat de réservation sous seing privé
Type 1,VEFA,"la VEFA n'a pas encore été mise en place mais pour plus d'informations je peux vous mettre en relation avec l'équipe commerciale 
"
Type 1,vue mer ou jardin,"Chaque villa bénéficie d’une vue mer panoramique  embrassant toute la baie de Tanger offrant un spectacle naturel unique à toute heure de la journée.
"
Type 1,parking ou garage inclus,"la villa dispose d'un très grand parking au sous sol pouvant acueillir plus de 3 voitures, il dispose également d'un grand dortoir pour le personnel et 3 locaux techniques et boxes"
Type 1,niveau de finition,"Bois massif, marbre italien, pierre blonde, cuisine équipée et finitions élégantes et très haut de gamme dans toutes les pièces, les commerciaux disposent d'une note technique détaillée avec les matériaux à utiliser, ils vous donneront plus de détail, souhaitez être contacter par un commercial"
Type 1,villas jumelées ou isolées,"Les villas sont isolées offrant ainsi à chaque résident une intimité préservée, un confort acoustique optimal et une atmosphère paisible au cœur d’un cadre naturel raffiné."
Type 1,personnalisation possible,"Le design des villas a été conçu par des architectes renommés, dotés de références nationales et internationales, afin de garantir une finition raffinée et un standing élevé. Il faudra discuter cette question avec nos commerciaux qui pourront vous donner plus de détail"
Type 1,disponibilité immediate ou sur plan/ titré ou pas,"La vente est réalisée sur plan, la date de livraison est prévue en septembre 2027
"
Type 1,date de livraison,ca sera en septembre 2027
Type 1,Charges de copropriété,"pour le moment, le budget de fonctionnement n'a pas été détérminé par ailleurs, la résidence sera géré par une société privée qui se chargera annuelement de présenter le budget annuel aux acquéreurs"
Type 1,Possibilité de négociation du prix,"A ma connaissance, les prix sont fixes mais pour plus de détails, il faudra consulter un commercial, souhaitez vous que je vous prenes un RDv"
Type 1,possibilité de visite,"nos commerciaux sont disponibles sur site, si vous souhaitez prendre RDV, je peux vous organiser cela"
,,
Type 2,superficie terrain,"il y a une seule villa de ce type, elle fait 860 m² de terrain"
Type 2,superficie habitable/ surface construitre,890 m² de surfaces planchers
Type 2,nombre de chambres,"La villa dispose de 5 suites très spacieuses chaucune avec sa salle de bain et tous ayant une vue panoramique sur la baie de tanger 
"
Type 2,nombre de salle de bains,Chaque suite est équipée de sa propre salle de bain
Type 2,jardin privatif,"la villa bénéficie d’un jardin privatif soigneusement aménagé, pensé comme un prolongement naturel de l’espace de vie, offrant calme, intimité et un cadre verdoyant idéal pour se détendre"
Type 2,piscine,"la  villa est dotée d'une piscine privée à débordement situé à l'étage supérieure surplombant la mer, soigneusement intégrée au paysage, invitant à la détente et à la convivialité dans un cadre élégant et intimiste."
Type 2,prix,le prix est de 35 MDH
Type 2,modalités de paiment,"30% à la réservation, 20% à la fin des travaux gros œuvres et le reste à la livraison"
Type 2,Type de contrat,c'est un contrat de réservation sous seing privé
Type 2,VEFA,"la VEFA n'a pas encore été mise en place mais pour plus d'informations je peux vous mettre en relation avec l'équipe commerciale 
"
Type 2,vue mer ou jardin,"la villa bénéficie d’une vue mer panoramique  embrassant toute la baie de Tanger offrant un spectacle naturel unique à toute heure de la journée.
"
Type 2,parking ou garage inclus,"la villa dispose d'un très grand parking au sous sol pouvant acueillir plus de 5 voitures, il dispose également d'un grand dortoir pour le personnel et des locaux techniques et boxes"
Type 2,niveau de finition,"Bois massif, marbre italien, pierre blonde, cuisine équipée et finitions élégantes et très haut de gamme dans toutes les pièces, les commerciaux disposent d'une note technique détaillée avec les matériaux à utiliser, ils vous donneront plus de détail, souhaitez être contacter par un commercial"
Type 2,villas jumelées ou isolées,"la villa est isolée offrant ainsi à chaque résident une intimité préservée, un confort acoustique optimal et une atmosphère paisible au cœur d’un cadre naturel raffiné."
Type 2,personnalisation possible,"Le design de la villas a été conçue par des architectes renommés, dotés de références nationales et internationales, afin de garantir une finition raffinée et un standing élevé. Il faudra discuter cette question avec nos commerciaux qui pourront vous donner plus de détail"
Type 2,disponibilité immediate ou sur plan/ titré ou pas,"La vente est réalisée sur plan, la date de livraison est prévue en septembre 2027
"
Type 2,date de livraison,ca sera en septembre 2027
Type 2,Charges de copropriété,"pour le moment, le budget de fonctionnement n'a pas été détérminé par ailleurs, la résidence sera géré par une société privée qui se chargera annuelement de présenter le budget annuel aux acquéreurs"
Type 2,Possibilité de négociation du prix,"A ma connaissance, les prix sont fixes mais pour plus de détails, il faudra consulter un commercial, souhaitez vous que je vous prenes un RDv"
